carrier_num,longitude,latitude,signal,synHour,appname_num,destIp_longitude,destIp_latitude,RTT_sum,RTT_median,RTT_average,RTT_std,RTT_stretch_weight,RTT_label
36.0,-9.0,4.0,4.0,4.0,0.0,-8.0,4.0,4665,43.0,74.343837084673098,103.7200024277129,0.00964134184914761,1
6.0,-12.0,4.0,4.0,11.0,22.0,-11.0,3.0,3677,58.0,67.558607560511291,56.290179787545505,0.0020332501836222714,0
6.0,-12.0,4.0,4.0,11.0,22.0,-11.0,3.0,3677,58.0,67.558607560511291,56.290179787545505,0.0020332501836222714,0
36.0,-9.0,4.0,4.0,4.0,0.0,-8.0,4.0,4665,43.0,74.343837084673098,103.7200024277129,0.00964134184914761,1
6.0,-12.0,4.0,4.0,12.0,22.0,-11.0,3.0,2493,58.0,68.204973926995592,51.92233338073013,0.0022042926605381334,0
6.0,-12.0,4.0,4.0,23.0,22.0,-11.0,3.0,2410,63.0,77.901659751037343,80.92294294166928,0.0014143333673820619,0
6.0,-12.0,4.0,4.0,17.0,22.0,-11.0,3.0,2394,59.0,68.241436925647449,48.25286036710942,0.002371921944489978,0
6.0,-12.0,4.0,4.0,9.0,0.0,-12.0,3.0,2227,74.0,107.33228558599012,145.38045423811187,0.006878503752383017,1
6.0,-12.0,4.0,4.0,9.0,0.0,-12.0,3.0,2227,74.0,107.33228558599012,145.38045423811187,0.006878503752383017,1
6.0,-12.0,4.0,4.0,8.0,22.0,-11.0,3.0,1699,62.0,72.556798116539142,51.15513956862894,0.0022373513073033553,0
6.0,-12.0,4.0,4.0,23.0,0.0,-12.0,3.0,1926,76.0,122.29127725856698,167.56159356901048,0.005967954700718149,1
36.0,-9.0,4.0,4.0,14.0,0.0,-8.0,4.0,1880,53.0,137.16170212765957,224.1361013704135,0.004461574881894516,1
332.0,-10.0,3.0,4.0,5.0,46.0,-12.0,5.0,1702,109.0,121.36721504112809,51.80343106771367,0.0022093520840261375,0
36.0,-9.0,4.0,4.0,14.0,0.0,-8.0,4.0,1880,53.0,137.16170212765957,224.1361013704135,0.004461574881894516,1
6.0,-12.0,4.0,4.0,2.0,0.0,-12.0,3.0,1648,80.0,119.82949029126213,130.50943658636223,0.007662281181776985,1
6.0,-12.0,4.0,4.0,12.0,0.0,-12.0,3.0,1620,72.0,110.92901234567901,142.0861389674547,0.0070379841923148695,1
6.0,-12.0,4.0,4.0,21.0,0.0,-12.0,3.0,1610,80.0,118.69937888198758,129.56150245682113,0.0077183421080908605,1
36.0,-9.0,4.0,4.0,17.0,0.0,-8.0,4.0,1576,45.0,115.99048223350253,347.7402693968209,0.002875709510821303,1
6.0,-12.0,4.0,4.0,18.0,0.0,-12.0,3.0,1548,73.0,146.81330749354007,376.7539044941575,0.0026542525188760387,1
36.0,-9.0,4.0,4.0,2.0,0.0,-8.0,4.0,1528,59.0,122.84424083769633,227.8857366865172,0.0043881640621309,1
36.0,-9.0,4.0,4.0,1.0,0.0,-8.0,4.0,1508,53.0,146.00663129973475,322.5306042412196,0.003100480967852909,1
6.0,-12.0,4.0,4.0,16.0,0.0,-12.0,3.0,1448,72.0,112.39157458563535,159.6624871123171,0.006263211967232692,1
6.0,-12.0,4.0,4.0,15.0,22.0,-11.0,3.0,1414,62.0,79.5,79.24943835441867,0.0014441997415465106,0
332.0,-10.0,3.0,4.0,5.0,46.0,-12.0,5.0,1702,109.0,121.36721504112809,51.80343106771367,0.0022093520840261375,0
6.0,-12.0,4.0,4.0,19.0,22.0,-11.0,3.0,1397,61.0,69.938439513242656,35.947196479223784,0.003183892753786983,0
6.0,-12.0,4.0,4.0,7.0,22.0,-11.0,3.0,1390,60.0,67.413669064748206,28.33274969435545,0.004039566213086585,0
6.0,-12.0,4.0,4.0,7.0,22.0,-11.0,3.0,1390,60.0,67.413669064748206,28.33274969435545,0.004039566213086585,0
6.0,-12.0,4.0,4.0,10.0,0.0,-12.0,3.0,1374,74.0,110.92576419213974,132.62781983372992,0.007539896239368627,1
6.0,-12.0,4.0,4.0,0.0,0.0,-12.0,3.0,1355,75.0,110.80221402214022,119.79450730454197,0.008347628138390326,1
6.0,-12.0,4.0,4.0,10.0,0.0,-12.0,3.0,1374,74.0,110.92576419213974,132.62781983372992,0.007539896239368627,1
6.0,-12.0,4.0,4.0,1.0,0.0,-12.0,3.0,1291,74.0,98.910921766072818,102.83450172564272,0.009724362769491018,1
6.0,-12.0,4.0,4.0,22.0,0.0,-12.0,3.0,1323,77.0,120.69236583522297,136.98639606968075,0.007299994953450201,1
6.0,-12.0,4.0,4.0,9.0,22.0,-11.0,3.0,1302,59.0,69.587557603686633,74.86679168024003,0.001528742127457366,0
6.0,-12.0,4.0,4.0,9.0,22.0,-11.0,3.0,1302,59.0,69.587557603686633,74.86679168024003,0.001528742127457366,0
6.0,-12.0,4.0,4.0,22.0,0.0,-12.0,3.0,1323,77.0,120.69236583522297,136.98639606968075,0.007299994953450201,1
36.0,-9.0,4.0,4.0,19.0,0.0,-8.0,4.0,1296,50.0,138.68518518518519,244.85730216290597,0.004084011345247487,1
6.0,-12.0,4.0,4.0,14.0,0.0,-12.0,3.0,1294,75.0,126.91190108191654,171.80481169192316,0.005820558750084249,1
6.0,-12.0,4.0,4.0,1.0,0.0,-12.0,3.0,1291,74.0,98.910921766072818,102.83450172564272,0.009724362769491018,1
6.0,-12.0,4.0,4.0,15.0,0.0,-12.0,3.0,1222,73.0,108.80441898527005,128.8334550084284,0.00776195903412339,1
36.0,-9.0,4.0,4.0,3.0,0.0,-8.0,4.0,1217,49.0,107.23664749383731,202.83211268721334,0.0049301857913499935,1
6.0,-12.0,4.0,4.0,20.0,0.0,-12.0,3.0,1198,82.0,151.62353923205342,186.05662523315306,0.005374707827506118,1
6.0,-12.0,4.0,4.0,19.0,0.0,-12.0,3.0,1140,79.5,131.11666666666667,150.52894890706014,0.0066432404348842015,1
6.0,-12.0,4.0,4.0,19.0,0.0,-12.0,3.0,1140,79.5,131.11666666666667,150.52894890706014,0.0066432404348842015,1
36.0,-9.0,4.0,4.0,16.0,0.0,-8.0,4.0,1136,39.0,73.10299295774648,179.03122256470803,0.005585617892088994,1
36.0,-9.0,4.0,4.0,16.0,0.0,-8.0,4.0,1136,39.0,73.10299295774648,179.03122256470803,0.005585617892088994,1
36.0,-9.0,4.0,4.0,16.0,0.0,-8.0,4.0,1136,39.0,73.10299295774648,179.03122256470803,0.005585617892088994,1
68.0,-12.0,4.0,4.0,17.0,0.0,-12.0,4.0,1095,51.0,180.74977168949772,655.9702628836304,0.0015244593491235755,1
36.0,-9.0,4.0,4.0,3.0,0.0,-8.0,4.0,1217,49.0,107.23664749383731,202.83211268721334,0.0049301857913499935,1
68.0,-12.0,4.0,4.0,19.0,0.0,-12.0,4.0,1080,179.0,309.24722222222221,351.52223863013734,0.00284477023102989,1
68.0,-12.0,4.0,4.0,19.0,0.0,-12.0,4.0,1080,179.0,309.24722222222221,351.52223863013734,0.00284477023102989,1
6.0,-12.0,4.0,4.0,4.0,0.0,-12.0,3.0,1028,77.0,115.78599221789884,124.02210844663374,0.00806307853111767,1
6.0,-12.0,4.0,4.0,23.0,88.0,-12.0,5.0,997,65.0,71.575727181544636,23.660706237489276,0.0048372190263625235,0
6.0,-12.0,4.0,4.0,21.0,22.0,-11.0,3.0,995,62.0,97.972864321608043,186.63734287681348,0.005357984552212745,1
6.0,-12.0,4.0,4.0,1.0,22.0,-11.0,3.0,970,60.0,73.47731958762887,82.9074630159627,0.0013804790814443493,0
6.0,-12.0,4.0,4.0,11.0,22.0,11.0,2.0,969,379.0,964.81940144478847,1038.7290258079763,0.0009627149864442742,1
68.0,-12.0,4.0,4.0,19.0,0.0,-12.0,4.0,1080,179.0,309.24722222222221,351.52223863013734,0.00284477023102989,1
